奶茶店名称,地址,纬度,经度
蜜雪冰城(磨山景区店),鲁磨路665号磨山景区南门驿站3栋02号,30.550254,114.4144
古茗(光谷沃德中心店),沃德中心2-117,30.493676,114.515887
古茗(光谷世界城店),珞喻路766号世界城广场B1,30.511842,114.411581
茶百道(未来城店),珞狮南路147号未来城BC栋裙楼1层19号,30.531362,114.359602
蜜雪冰城(二中店),中山大道1560号,30.611522,114.315094
茶颜悦色(白沙天街A馆一楼店),白沙三路48号武汉白沙天街A馆A-1F-16号,30.481592,114.299297
1点点(武汉大学正门店),珞珈山路88号,30.537853,114.362232
茶百道(群星城店),福星惠誉·群星城20号负一楼,30.590797,114.356028
东茶(武汉江夏郑店街店),纸金路（郑店中学路口对面）,30.33528,114.268305
蜜雪冰城(户部巷店),湖北省武汉市武昌区民主路69号1-1号,30.552766,114.304517
蜜雪冰城(沃德中心店),东湖新技术开发区高新大道780号光谷新汇2-1-13,30.493496,114.515957
蜜雪冰城(梨园店),湖北省武汉市武昌区沿湖大道20号,30.581,114.382129
茶百道(江汉路店),江汉一路璇宫电影院对面,30.587071,114.296823
蜜雪冰城(武汉中学店),粮道街220号乙单元1层2室,30.552771,114.318523
茶颜悦色(摩尔城店),龙阳湖北路摩尔城B1楼,30.564459,114.214552
古茗(光谷烽云慧城店),九峰街道烽云慧城小区商7-1-16,30.474115,114.489996
茶颜悦色(花园道店),北湖街道青年路308号花园道一层C102室,30.601556,114.272349
1点点(汉口火车站店),汉口站西路汉口火车站地铁大厅负一楼CD出口,30.6212,114.260731
喜茶(荟聚中心店),长宜路1号荟聚中心L2层（宜家中庭）,30.623419,114.173137
蜜雪冰城(中南店),中南一路3号嘉园大厦1、2栋-1层1室13-15号、1-3号,30.543692,114.338613
茶颜悦色(取水楼店),新华路213号Z·YSTREET中英街1号楼1楼附5号,30.599363,114.279046
古茗(东湖景园店),欢乐大道86号东湖景园A区3号楼121号商,30.58963,114.381731
茶百道(武汉大学正门店),珞南街明家湾武大路66号,30.538397,114.362983
喜茶(武汉天地壹方南馆店),中山大道武汉天地壹方南馆一楼102商铺,30.614517,114.315766
