奶茶店名称,地址,纬度,经度
古茗(湖北大学店),友谊大道373号附136号古茗,30.585165,114.336852
古茗(古田四路店),古田四路199号B区9号-11号,30.611642,114.224391
古茗(江汉路万达店),交通路万达广场c-1-32号,30.584286,114.299183
古茗(光谷天地店),关山大道光谷天地一期E-1F-039,30.484076,114.417158
古茗(光谷世界城店),珞喻路766号世界城广场B1,30.511842,114.411581
古茗(百花街店),百花街256号,30.313882,114.088933
古茗(南湖佰港城店),文治街维佳佰港城L1层16号,30.509538,114.332416
古茗(左岭新城店),九龙湖街左岭街祥龙社区底商,30.496331,114.626896
古茗(走马岭店),走马岭街道市场路50号,30.653627,114.035481
古茗(新洲摩尔城店),齐安大道98附3号,30.840744,114.810053
古茗(江汉路步行街店),江汉一路52号（璇宫饭店对面）,30.587113,114.296873
古茗(洪山虎泉店),卓刀泉街道虎泉街126号附5,30.516677,114.378557
古茗(江夏永旺店),文化大道199号永旺梦乐城3楼3035-1室,30.401948,114.322041
古茗(雄楚一号店),雄楚大道雄楚1号地一站甜品广场N605-1-1号商铺,30.504486,114.397061
古茗(华师南门店),桂元路140号,30.521372,114.363381
古茗(武汉江夏豹澥店),东湖高新区高新四路万年台生活广场北区一楼101号,30.468089,114.550049
古茗(百秀街店),百秀街98号,30.885916,114.379878
古茗(武昌理工店),江夏大道庙山产业园梅南山居商网1楼27号,30.419916,114.379317
古茗(江腾广场店),广电兰亭都荟1幢1单元-2层3号,30.542627,114.26229
古茗(武昌户部巷店),民主路户部巷8号,30.55271,114.304627
古茗(经开永旺店),经济技术开发区江城大道408号B座3楼313C,30.508412,114.21133
古茗(环球广场店),巨龙大道环球广场A区09号铺位,30.707268,114.296054
古茗(武大校内梅园店),八一路299号武汉大学东中区九栋一楼2105,30.539037,114.37091
古茗(江汉江宸天街店),青年路518号江宸天街负2楼A-B2-04号（近3号线范湖地铁站E口）,30.613099,114.26745
古茗(阳逻万达店),柴泊大道阳逻万达广场4055号四楼,30.697586,114.610061
古茗(百瑞景店),宝通寺路百瑞景商业街7栋7-1001,30.528167,114.34168
古茗(文华学院店),文化路文华学院5号铺,30.503105,114.443269
古茗(武汉华夏理工学院店),华夏理工大学校内菜鸟驿站3号铺,30.472457,114.418769
古茗(武工院校内店),武汉工程科技学院西门北侧约90米,30.354946,114.341027
古茗(武汉客厅店),湖北省武汉市东西湖区将军路街武汉客厅小型会展中心建设项目特色文化街区IIF栋1层02号,30.677215,114.285118
古茗(二七路店),二七路89附36号,30.632772,114.320198
古茗(首义泛悦汇店),首义广场泛悦汇一楼-KA街汉堡王隔壁,30.540412,114.311022
古茗(黄陂横店店),横店街是蓝色星城三期2栋1层8室,30.806561,114.301486
古茗(鲁磨路店),鲁磨路319号,30.519159,114.40646
古茗(锦绣龙城店),龙城路4附13号,30.472305,114.394944
古茗(东湖景园店),欢乐大道86号东湖景园A区3号楼121号商,30.58963,114.381731
古茗(江夏中百店),文华路37号江夏中百广场1楼107-01-043号商铺,30.370869,114.328009
古茗(汉口学院),大桥现代产业园文化大道299号汉口学院中央生活区1栋1楼29号,30.419824,114.32189
古茗(光谷科技港店),华师园北路光谷科技港1号楼一层20号,30.462931,114.405681
古茗(常青公寓店),公园南路常青花园公寓A栋1楼A-16号,30.646929,114.252226
古茗(汉正街店),武汉市硚口区多福路特58号汉正街品牌服饰批发广场F1,30.57597,114.283069
古茗(蔡甸健康谷新天地店),新天大道集贤健康谷新天地3-1-18,30.555383,114.118379
古茗(红桥城店),福星惠誉红桥城8号楼商-5号,30.669468,114.338733
古茗(曙光星城店),雄庄路6-108号曙光星城,30.489591,114.410034
古茗(中南财大小吃街店),南湖大道政院小区264栋一楼门面,30.48122,114.390613
古茗(文理学院店),武汉文理学院武湖校区和津堂6号门面,30.739391,114.419998
古茗(马湖店),马湖新村广寰商贸楼2栋1单元1楼20号,30.48035,114.331737
古茗(汉阳万达店),四新大道608号武汉汉阳万达广场3010号,30.536487,114.207391
古茗(青山商场店),和平大道1154号青山商场一层三号商铺,30.645089,114.410017
古茗(二师店),东湖技术开发区高新大道456号Z23幢1-2层4号商铺,30.490494,114.452597
古茗(知行学院店),谌家矶知行学院外寝新建村综合楼1楼4号,30.698231,114.379804
古茗(阳光一百店),杨桥湖大道藏龙岛阳光100大湖第四期商业53-B-102号商铺,30.408042,114.418926
古茗(怡华逸天地店),吴中街401号怡华-逸天地3号楼第1层18号商铺,30.635914,114.15054
古茗(工商学院店),黄家湖西路长江工商学院学生宿舍9栋1层03号铺,30.466781,114.283321
茶颜悦色(武汉天地店),芦沟桥路66号武汉天地7号楼1层,30.613029,114.317455
茶颜悦色(欧亚达游园会店),汉口站西路欧亚达国际广场L1层L1-02号商铺,30.620942,114.261081
茶颜悦色(湖经学院茶叶子店),藏龙岛科技园杨桥湖大道15号拓创产业园1层中百超市外租区WP-S-1-6,30.42602,114.436952
茶颜悦色(亚贸广场游园会店),武珞路628号武商亚贸广场购物中心1层,30.535562,114.349746
茶颜悦色(光谷世界城广场游园会店),湖北省武汉市洪山区珞喻路726号世界城广场2楼,30.512322,114.412482
茶颜悦色(德国风情街镖局店),步行街南路光谷世界城德国风情街F-711、F-712、F-7118-7120号,30.507017,114.41469
茶颜悦色(摩尔城店),龙阳湖北路摩尔城B1楼,30.564459,114.214552
茶颜悦色(美术馆镖局店),大智街道中山大道1059号,30.588312,114.299119
